boardType,title,content
자유 게시판,ㅈㄴ 후회된다,파르페 확업때 명함이라도 따놓을걸...샤벳에 몰빵하느라 명함도 못땀 10월에 정가나 쳐야지...
자유 게시판,그래 닼초 만렙을 찍자,닼초가 좀만 버티면 될거야
자유 게시판,병먹금 하라는 것도 먹이같아서 지움ㅋㅋㅋ,진짜 너무 꼴뵈기 싫어 ㅠㅠㅜㅠㅜㅠㅜㅠㅜㅠ ㅋㅋㅋㅋㅋ 미치겠음
질문 게시판,아레나 덱 추천좀해주세요,그리고 뭐키우면좋을까요
[퓨어바닐라] 길드 게시판,길드 양도 받아요,1퍼 길드 양도받거나 46~48 유령길드 양도받아요 ? 글삭제될때까지 유효하니 오픈챗 부탁드려요 ? ? https://open.kakao.com/o/sOgsDvzd
자유 게시판,(심테) 게임 속 나의 직업은??,? ? ? https://doda.app/quiz/i2VAtUbhNJ ?
자유 게시판,어둠 9 10 깨는게 진짜 재밌었어,다양한 쿠키 보물들을 다 사용했고 레벨제한도 있으면서 결국 다 깨지는 스테이지들이 많았고 10-31은 패턴 숙지 타이밍 토핑작 무공비 조합이 다 좋아야 가능해서 말 그대로 마지막 보스 다웠음 11 12은 한차례 쉬어가는거 같아 아쉬움 13 14를 기대해야겠다
[퓨어바닐라] 길드 게시판,3%레전드쿠키 길드원 한분 급구?????????,레전드쿠키에서 길드원 모집합니다  (29/30) ? ? 같이 2% 길드로 만들어봐요???? ? ? ??전 시즌 3% ? ??레벨 43 ? ? ??자격사항?? ? ??전투력 45만 ? ??뱀파이어 쿠키 60이상 ? ??하루에 토벌전 3회 필수 ? ??토벌전 점수 150만점 이상 ? ? ? ?? 아무런 이유없이 2일 이상 미접속시 추방됩니다 ? ?? 무임승차는 절대 사절입니다 ? 톡방은 따로 없습니다! ? ?톡방은 따로 없으며 자유가입 입니다! ? ??들어오시면 토벌하시고 점수 알려주세요???? 가입 후  점수 말 안해주시거나 점수 미달시 추방입니다-!  요건 맞는분만 들아와주세요!???
자유 게시판,중국이 대단한 이유,일주일에 게임 1시간밖에 못하게함 ㅋㅋ ? 게임은 마약이다 이러더니 게임 못하게 막음 ? 셧다운제는 아무것도 아님 공산당 지린다
질문 게시판,딸크vs홀베,단타말고 장투하려면 홀베가 좋을까요..? ?
자유 게시판,죽음의 4444,ㄷㄷㄷㄷㄷㄷㄷㄷ
[퓨어바닐라] 길드 게시판,1퍼 길드구합니다,1퍼길드 비틱질하는 잼민이 없는 길드면 좋겠습니다
